code,Action,Subaction,Instance,definition
T1.1.1.1,Retrieval,Retrieve from skill library,Retrieve from skill library,Grab pre-built skill snippet (Minecraft “chop tree”)
T1.1.2.1,Retrieval,Retrieve from local corpus,Retrieve from local corpus,Diverse filetype reading; read between 1 to 15 documents and/or tables”
T1.1.3.1,Retrieval,Retrieve from external knowledge base,Retrieve from external knowledge base,Recall three relevant distinct problems (P28): “Recall three (03) relevant and distinct problems (different from the user task)”
T1.1.4.1,Retrieval,Retrieve from open web,Retrieve from open web,"High reliance on web search to offload knowledge retrieval to external sources"""
T1.1.5.1,Retrieval,Retrieve relevant context,Retrieve relevant context,LLM leverages retrieved HLS-related context to transform input C algorithms or natural language descriptions”
T1.2.1.1,Memory,Store Information,Store information in working memory,Scratchpad for current inputs and intermediate results.
T1.2.1.2,Memory,Store Information,Store episodic trajectories,Record full action sequences for later training.
T1.2.1.3,Memory,Store Information,Store knowledge in semantic memory,Save general world facts.
T1.2.1.4,Memory,Store Information,Store experiences in episodic memory,Save events as episodes.
T1.2.1.5,Memory,Store Information,Store information in long-term memory,Store information in external storage.
T1.2.1.6,Memory,Store Information,Maintain curriculum library,"Keep a syllabus of mastered and upcoming skills, arranged by difficulty, so the agent learns in a sensible order."
T1.2.2.1,Memory,Update Information,Update memory,Update experiences.
T1.2.3.1,Memory,Discard information,Discard information from working memory,Discard local memory after subtask completion.
T1.2.3.2,Memory,Discard information,"Discard redundant game state, keep summaries","Automatic context compaction to manage thousands of reasoning steps, preserving only LLM responses and action summaries while discarding redundant game state”"
T1.2.4.1,Memory,Consolidate memory,Consolidate working memory into long-term memory,Retain only successful analysis path to global memory.
T1.2.4.2,Memory,Consolidate memory,Compact context window,"Automatic context compaction to manage the thousands of reasoning steps required, preserving only LLM responses and action summaries while discarding redundant game state"""
T1.2.5.1,Memory,Read memory,Read from working memory,Grab intermediate results from scratchpad.
T1.2.5.2,Memory,Read memory,Read from long-term memory,Importance-weighted retrieval of discoveries.
T2.1.1.1,Planning,Decompose task,Decompose into subtasks,Todo_write tool (15 invocations by GPT-5.2)
T2.1.1.2,Planning,Decompose task,Decompose into subgoals with success conditions,"LLM decomposes the task into a sequence of subgoals, each paired with an executable success-condition function”"
T2.1.1.3,Planning,Decompose task,Decompose by role specialization,"Splitting the instruction-following challenge into distinct reasoning and grounding roles handled by a reasoner agent and an actor agent"""
T2.1.2.1,Planning,Formulate a workflow or plan,Formulate a high-level plan,"METRO starts with the identification of the strategic action a_i for every expert utterance u_i in transcript D"""
T2.1.2.2,Planning,Formulate a workflow or plan,Formulate an analysis workflow,The Planner accurately interprets user intent and formulates a comprehensive analysis workflow”
T2.1.2.3,Planning,Formulate a workflow or plan,Plan navigation through environment,Planning to navigate the web; tasks require navigation through an average of 4.2 web pages”
T2.1.2.4,Planning,Formulate a workflow or plan,Plan function or tool use,"I can use the pandas method corr() to calculate the Pearson correlation coefficient"""
T2.1.2.5,Planning,Formulate a workflow or plan,Plan Code or artifact structure,"Planning: HTML Structure, CSS Styling, JavaScript Functionality"""
T2.1.2.6,Planning,Formulate a workflow or plan,Formulate plan from template,"HLSTuner formulates a detailed plan that specifies: (1) the combination of HLS directives, (2) target code segments, and (3) the insertion actions"""
T2.1.3.1,Planning,Select Strategy,Select among candidate strategies,"Selects effective HLS directive combination strategies and inserts directives within the specific structure (e.g., loops and arrays)”"
T2.1.3.2,Planning,Select Strategy,Switch to fallback strategy,"Incorporating a dummy score prediction as a fallback mechanism"""
T2.1.4.1,Planning,Modify Plan,Replan dynamically based on feedback,"RequireReplan provides the LLM-based executor with the capability to dynamically adjust the plan"""
T2.1.4.2,Planning,Modify Plan,Refine Requirements,Refine requirement based on validated test cases to ensure alignment”
T2.2.1.1,Reasoning,Generating,Generate candidate options,Brainstorm possible next moves.
T2.2.1.2,Reasoning,Generating,Generate structured artifacts,"Each agent then emits a set of initial codes; cluster semantically similar codes and generate preliminary themes"""
T2.2.1.3,Reasoning,Generating,Generate evaluations,LLM Group for multifaceted evaluation generates diverse debugging instructions”
T2.2.2.1,Reasoning,Analysing,Analyse artifact structure and behavior,Analyze frontend framework and interactive components”
T2.2.2.2,Reasoning,Analysing,Detect patterns or trends in data,"Identifying patterns, directions, or changes in data over time or across contexts”"
T2.2.2.3,Reasoning,Analysing,Interpret meaning of artifacts,"Logical reasoning to interpret papers and code; mathematical reasoning to modify and run code; causal reasoning to infer scientific insights from results"""
T2.2.2.4,Reasoning,Analysing,Classify inputs into categories,Delegator can determine which of the k tasks the input string belongs to by observing only a constant number of metadata tokens.
T2.2.3.1,Reasoning,Explaining,Explain reasoning or outcomes,"Explain the failure from a user requirement perspective"""
T2.2.4.1,Reasoning,Summarizing/Distilling,Summarize recent observations and trajectories,Condense recent observations and trajectories into key takeaways.
T2.2.5.1,Reasoning,Inferring,Infer hidden state from observable evidence,Damage calculation reveals stat distributions.
T2.2.5.2,Reasoning,Inferring,Infer causal relationship,Determine plausible causal factor.
T2.2.5.3,Reasoning,Inferring,Infer structure from indirect evidence,"Agents must infer the directory layout by inspecting package structures and README files"""
T2.2.5.4,Reasoning,Inferring,Infer errors,M_q has the capacity to identify exactly one bug at a time.
T2.2.6.1,Reasoning,Comparing & Ranking,Compare values across sources,Quantify and compare across sources.
T2.2.6.2,Reasoning,Comparing & Ranking,Rank items by criteria,Order items by importance.
T2.2.7.1,Reasoning,Contextualizing,Package prior reasoning as context for subsequent calls,Feed reasoning so far as context to next LLM call.
T2.2.7.2,Reasoning,Contextualizing,Construct structured context object,"Global interactive multi-behavior overlapping network is constructed based on the simulated behaviors of reposting and reposting with a comment, as well as following”"
T2.2.7.3,Reasoning,Contextualizing,Configure agent persona or role-conditioning,"I want you to play as {role}, imitating {role}’s personality and values”"
T2.2.7.4,Reasoning,Contextualizing,Assign roles in a multi-agent team,"Specifying a scope, or role, for an agent allows it to be treated as a computational object. map each one to an employee in a human organization."
T2.2.8.1,Reasoning,Combining & Synthesis,Combine information from multiple sources,Combine information from multiple sources... to produce a coherent solution”
T2.2.8.2,Reasoning,Combining & Synthesis,Aggregate observations into a structured representation,"Supplementary semantic map M't, which aggregates the information from Mt over successive time steps. The intuition resembles a form of majority voting"""
T2.2.9.1,Reasoning,Filtering,Filter information by threshold,"Selecting relevant information based on criteria, quality, or thresholds”"
T2.3.1.1,Evaluate,Evaluating with gold,Compare against gold reference,"We prompt LLM to review the correct HLS-C code, pairing buggy code segments with corresponding error messages to construct debugging CoT”"
T2.3.1.2,Evaluate,Evaluating with gold,Score on gold criteria,"The Gold Checker evaluates each annotation on three binary criteria: equivalence, completeness, and correctness, where a score of 1 indicates the criterion is met”"
T2.3.2.1,Evaluate,Evaluating with goals/requirements/constraints,goal-completion check,"Independently checks whether objectives are truly complete, preventing the orchestrator from advancing when the main agent incorrectly believes a task is finished”"
T2.3.2.2,Evaluate,Evaluating with goals/requirements/constraints,Requirement-satisfaction check,The final results from all subtasks are synthesized to meet the user's requirements”
T2.3.2.3,Evaluate,Evaluating with goals/requirements/constraints,Constraint / budget check,HLSTuner enables QoR-aware reasoning to align optimization goals with hardware constraints”
T2.3.2.4,Evaluate,Evaluating with goals/requirements/constraints,Domain-rule / best-practice check,"Codified best-practices, such as the standard order of operations (e.g., quality control must precede normalization)"""
T2.3.3.1,Evaluate,Evaluating without ground truth,Score on quality dimensions,"We use GPT-4o as the default evaluator, each dimension scored on a scale of 0 to 2”"
T2.3.3.2,Evaluate,Evaluating without ground truth,Check rubric compliance,"Verify the implementation of every item listed in {Rubrics}"""
T2.3.3.3,Evaluate,Evaluating without ground truth,Evaluate visual/behavioral correctness,"Evaluates dynamic behavior and visual correctness based on screenshots"""
T2.3.3.4,Evaluate,Evaluating without ground truth,Evaluate internal consistency,Task an evaluator agent with determining whether each theme is consistent with its supporting quotes”
